timestamp,my_double
2009-01-01T08:00:00+00:00,1
2009-01-01T08:30:00+00:00,3.58
2009-01-01T09:00:00+00:00,1
2009-01-01T09:30:00+00:00,3.58
2009-01-01T10:00:00+00:00,1
2009-01-01T10:30:00+00:00,3.58
2009-01-01T11:00:00+00:00,1
2009-01-01T11:30:00+00:00,3.58
2009-01-01T12:00:00+00:00,1
2009-01-01T12:30:00+00:00,3.58
2009-01-01T13:00:00+00:00,1
2009-01-01T13:30:00+00:00,3.58
2009-01-01T14:00:00+00:00,1
2009-01-01T14:30:00+00:00,3.58
2009-01-01T15:00:00+00:00,1
2009-01-01T15:30:00+00:00,3.58
2009-01-01T16:00:00+00:00,1
2009-01-01T16:30:00+00:00,3.58
2009-01-01T17:00:00+00:00,1
2009-01-01T17:30:00+00:00,3.58
2009-01-01T18:00:00+00:00,1
2009-01-01T18:30:00+00:00,3.58
2009-01-01T19:00:00+00:00,1
2009-01-01T19:30:00+00:00,3.58
2009-01-01T20:00:00+00:00,1
2009-01-01T20:30:00+00:00,3.58
2009-01-01T21:00:00+00:00,1
2009-01-01T21:30:00+00:00,3.58
2009-01-01T22:00:00+00:00,1
2009-01-01T22:30:00+00:00,3.58
2009-01-01T23:00:00+00:00,1
2009-01-01T23:30:00+00:00,3.58
2009-01-02T00:00:00+00:00,1
2009-01-02T00:30:00+00:00,3.58
2009-01-02T01:00:00+00:00,1
2009-01-02T01:30:00+00:00,3.58
2009-01-02T02:00:00+00:00,1
2009-01-02T02:30:00+00:00,3.58
2009-01-02T03:00:00+00:00,1
2009-01-02T03:30:00+00:00,3.58
2009-01-02T04:00:00+00:00,1
2009-01-02T04:30:00+00:00,3.58
2009-01-02T05:00:00+00:00,1
2009-01-02T05:30:00+00:00,3.58
2009-01-02T06:00:00+00:00,1
2009-01-02T06:30:00+00:00,3.58
2009-01-02T07:00:00+00:00,1
2009-01-02T07:30:00+00:00,3.58
2009-01-02T08:00:00+00:00,1
